Damage level s [%];Damage depth d [mm];Distance D [mm];Freq 1    f1 [Hz];Freq 2    f2 [Hz];Freq 3    f3 [Hz];Freq 4    f4 [Hz];Freq 5    f5 [Hz];Freq 6    f6 [Hz];Freq 7    f7 [Hz];Freq 8    f8 [Hz];Freq 9    f9 [Hz];Freq 10    f10 [Hz]
25;1,25;808;4,09207577;25,60645294;71,51942477;139,8946312;231,5039527;346,9045731;485,4631724;645,6674285;827,5977372;1033,89143
25;1,25;816;4,09216352;25,60931868;71,53972176;139,9144876;231,4165216;346,6787352;485,3910826;646,1270906;828,221569;1033,606685
25;1,25;823;4,09223958;25,61170661;71,55746185;139,9385242;231,3572232;346,4738187;485,2366004;646,4128401;828,8892543;1033,768554
25;1,25;829;4,09230447;25,61367826;71,57269076;139,9641047;231,3211377;346,3007348;485,0447307;646,5456416;829,478672;1034,204546
25;1,25;832;4,09233728;25,61464299;71,58034668;139,9787107;231,3088246;346,2173142;484,9312302;646,568833;829,7586862;1034,51254
25;1,25;834;4,09235946;25,61527092;71,5853565;139,9887521;231,3023708;346,16333;484,8504867;646,5678451;829,9329606;1034,742321
25;1,25;838;4,09240105;25,61650204;71,59529306;140,0099869;231,2943569;346,0602853;484,6783307;646,5266158;830,244927;1035,249462
25;1,25;848;4,09250713;25,61944019;71,61950773;140,0688822;231,3029523;345,8405825;484,2097768;646,2080477;830,732739;1036,610597
25;1,25;853;4,09255799;25,6208318;71,63111546;140,1005079;231,321679;345,7556275;483,9710765;645,9501602;830,7875236;1037,216236
25;1,25;860;4,0926314;25,62271519;71,64699632;140,1475297;231,3651945;345,6715705;483,6521995;645,5069211;830,6394252;1037,842602
25;1,25;865;4,0926829;25,62400109;71,65776714;140,1815291;231,4056789;345,6363541;483,4460312;645,1546937;830,3850732;1038,071573
25;1,25;868;4,09271237;25,6247585;71,66414905;140,2026325;231,4348479;345,6272575;483,3350283;644,9357109;830,1785629;1038,110992
25;1,25;874;4,09277491;25,62622415;71,67632245;140,244385;231,4995563;345,6320474;483,1462408;644,5007564;829,6724572;1037,965487
25;1,25;881;4,0928451;25,62786513;71,68967849;140,2924817;231,5853365;345,6771567;482,9919763;644,028424;828,9755998;1037,448687
25;1,25;886;4,09289658;25,62900144;71,69877213;140,3266316;231,6533805;345,736462;482,9329656;643,7368316;828,4485307;1036,890767
25;1,25;892;4,09295833;25,63032311;71,70902359;140,3661512;231,7385384;345,8315098;482,9186051;643,4578241;827,8356342;1036,086872
25;1,25;900;4,09303988;25,63202729;71,72168863;140,416256;231,8559972;345,9943034;482,996942;643,2352;827,132732;1034,927788
25;1,25;906;4,0930999;25,633269;71,73045732;140,4514785;231,944413;346,1371496;483,1240691;643,1942443;826,7481476;1034,110439
25;1,25;910;4,09314293;25,63408267;71,73597112;140,4737035;232,0024612;346,2392536;483,2375781;643,228861;826,5786667;1033,637841
25;1,25;915;4,09319486;25,63508686;71,74248837;140,4998486;232,0726684;346,3706058;483,4050564;643,3373224;826,4738486;1033,165757
25;1,25;919;4,09323474;25,635882;71,74745565;140,5196563;232,1271924;346,4783678;483,5583298;643,4761545;826,4825509;1032,905773
25;1,25;922;4,09326503;25,63647434;71,7510512;140,5338957;232,1670322;346,5601188;483,6830479;643,6092478;826,5450911;1032,790264
25;1,25;927;4,09331795;25,63745814;71,75674533;140,5559554;232,2292422;346,6918947;483,8966807;643,867289;826,7381008;1032,747011
25;1,25;933;4,09337924;25,63863418;71,76321884;140,5803493;232,298626;346,8446923;484,1629732;644,2340847;827,1149891;1032,956049
25;1,25;940;4,09345379;25,64000749;71,77034048;140,6060086;232,3713167;347,0098661;484,469969;644,705666;827,7069941;1033,52598
25;1,25;946;4,09351574;25,64119375;71,77614813;140,6257617;232,4260738;347,1360811;484,7152671;645,1125976;828,2852925;1034,220927
25;1,25;950;4,09355779;25,64199176;71,7799117;140,6379676;232,4589992;347,2119302;484,8659815;645,3736429;828,6822264;1034,750478
25;1,25;955;4,09361096;25,64300164;71,78453662;140,652306;232,4963825;347,2970242;485,036504;645,6768268;829,163955;1035,436994
25;1,25;961;4,09367536;25,64423171;71,79002823;140,6685077;232,5366879;347,3864339;485,2152797;646,0006504;829,6982336;1036,243786
25;1,25;965;4,09371904;25,64506603;71,7936896;140,6788697;232,561238;347,4389277;485,3184471;646,1878727;830,0130073;1036,735883
25;1,25;969;4,09376074;25,64591288;71,79737707;140,6890256;232,5843863;347,4866599;485,4099555;646,3521524;830,2898928;1037,175053
25;1,25;971;4,09378297;25,64634181;71,79923741;140,6940654;232,5955661;347,5090429;485,4518373;646,4261985;830,4139894;1037,37254
25;1,25;975;4,09382546;25,64721008;71,80300366;140,7041455;232,6174088;347,5515194;485,5291361;646,5599365;830,635145;1037,722746
25;1,25;980;4,09388206;25,64831628;71,80781607;140,7168868;232,6442842;347,6017866;485,6167251;646,7054834;830,8682108;1038,083928
25;1,25;998;4,09408228;25,65253008;71,8266127;140,7671307;232,7488707;347,7901312;485,9257906;647,1814096;831,5684687;1039,079901
25;1,25;999;4,09409354;25,65277688;71,8277422;140,7702235;232,7554327;347,8020974;485,9455238;647,211698;831,6125213;1039,141341
25;1,25;999,5;4,09204955;25,64006722;71,79240063;140,7014435;232,6424972;347,6345145;485,7130269;646,9042626;831,2203834;1038,655017
